               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.026529,            0.026755,           0.0066388,                 0.8,             0.51759,             0.56465,             0.36628,            0.029572,            0.036905,            0.018806,            0.002872,            0.002872,            0.002872
                 110,            0.026712,            0.026149,           0.0062809,             0.80403,             0.51008,             0.56682,             0.36924,            0.029777,            0.037358,            0.019196,            0.002806,            0.002806,            0.002806
                 111,             0.02624,            0.025827,           0.0063446,             0.81984,             0.49066,              0.5653,             0.36825,            0.029645,            0.037073,            0.019712,             0.00274,             0.00274,             0.00274
                 112,            0.026109,            0.024958,            0.006442,             0.82283,             0.51057,             0.57354,             0.37219,            0.029581,            0.037204,            0.019407,            0.002674,            0.002674,            0.002674
                 113,             0.02597,            0.025264,            0.006228,             0.78351,             0.49376,             0.57094,             0.37285,            0.029601,            0.037185,             0.01935,            0.002608,            0.002608,            0.002608
                 114,            0.026072,            0.025456,           0.0063299,             0.73734,             0.49075,             0.56618,             0.36911,            0.029417,            0.036702,            0.019634,            0.002542,            0.002542,            0.002542
                 115,            0.025912,            0.025572,           0.0062424,             0.69019,             0.53857,             0.57869,             0.37506,            0.029583,            0.036745,            0.019374,            0.002476,            0.002476,            0.002476
                 116,            0.025921,            0.025616,           0.0061053,             0.71424,             0.49822,             0.58023,             0.37758,            0.029453,            0.037005,             0.01948,             0.00241,             0.00241,             0.00241
                 117,            0.025746,            0.025202,           0.0060017,             0.68339,             0.54663,             0.58172,             0.37401,            0.029475,            0.037214,            0.019508,            0.002344,            0.002344,            0.002344
                 118,            0.025417,            0.024837,           0.0059372,             0.73583,             0.54182,             0.58839,             0.38337,            0.029473,            0.037052,            0.019833,            0.002278,            0.002278,            0.002278
                 119,            0.025292,            0.024985,           0.0058951,             0.73749,             0.53391,              0.5925,                0.39,            0.029417,              0.0369,            0.019655,            0.002212,            0.002212,            0.002212
                 120,            0.025275,            0.024967,           0.0059953,             0.80609,             0.51859,             0.59045,             0.38706,            0.029474,            0.037242,            0.019493,            0.002146,            0.002146,            0.002146
                 121,            0.025145,            0.024727,           0.0059333,             0.74468,             0.53551,             0.59612,             0.39717,            0.029474,            0.037522,            0.019814,             0.00208,             0.00208,             0.00208
                 122,            0.024871,            0.024121,           0.0057537,             0.82974,             0.49853,             0.59571,             0.38961,            0.029359,             0.03705,            0.019726,            0.002014,            0.002014,            0.002014
                 123,            0.024932,            0.024161,           0.0057906,              0.8132,             0.51463,             0.59699,             0.39175,            0.029472,            0.037347,            0.019868,            0.001948,            0.001948,            0.001948
                 124,            0.024842,            0.024797,           0.0058101,              0.7602,             0.52145,             0.59449,             0.39174,            0.029443,            0.037608,            0.019624,            0.001882,            0.001882,            0.001882
                 125,            0.024829,            0.024177,           0.0057447,             0.78837,             0.49492,             0.58487,             0.38653,            0.029417,            0.037527,            0.019343,            0.001816,            0.001816,            0.001816
                 126,            0.024697,            0.024331,            0.005602,             0.78065,              0.5292,             0.58366,             0.39191,            0.029359,            0.037622,            0.019357,             0.00175,             0.00175,             0.00175
                 127,            0.024409,            0.024352,            0.005713,             0.77661,             0.52801,             0.58502,             0.39524,            0.029311,            0.037599,            0.019483,            0.001684,            0.001684,            0.001684
                 128,            0.024174,             0.02357,           0.0054566,             0.78499,               0.513,             0.58772,             0.39585,            0.029337,            0.038019,            0.019612,            0.001618,            0.001618,            0.001618
                 129,             0.02467,            0.024578,           0.0055289,             0.75437,             0.53307,             0.59155,             0.39972,            0.029369,            0.037628,            0.019741,            0.001552,            0.001552,            0.001552
                 130,            0.024158,            0.023559,           0.0053815,              0.7744,             0.52741,             0.59507,             0.40078,            0.029353,            0.037692,            0.020118,            0.001486,            0.001486,            0.001486
                 131,            0.024186,            0.024384,           0.0055096,             0.67416,             0.58236,             0.60542,             0.40247,            0.029224,            0.037788,            0.020046,             0.00142,             0.00142,             0.00142
                 132,            0.023996,            0.024003,           0.0053384,             0.77118,             0.52875,             0.59129,             0.39576,             0.02929,            0.038021,            0.020333,            0.001354,            0.001354,            0.001354
                 133,            0.024032,            0.023953,           0.0053115,             0.78559,             0.53126,             0.59431,             0.38964,             0.02931,            0.037795,            0.020229,            0.001288,            0.001288,            0.001288
                 134,            0.023709,            0.024055,           0.0052145,             0.78314,             0.53306,              0.6069,             0.40725,            0.029319,            0.037828,             0.02004,            0.001222,            0.001222,            0.001222
                 135,            0.023883,            0.023393,           0.0053403,             0.80356,             0.53043,             0.60197,             0.40312,            0.029301,            0.037919,            0.020122,            0.001156,            0.001156,            0.001156
                 136,            0.023738,            0.023263,           0.0051219,              0.7441,              0.5333,             0.60295,              0.4041,            0.029245,            0.038053,            0.020189,             0.00109,             0.00109,             0.00109
                 137,            0.023865,            0.023667,           0.0052693,             0.72646,              0.5323,             0.60394,              0.4066,             0.02926,            0.037959,            0.020278,            0.001024,            0.001024,            0.001024
                 138,            0.023563,            0.023158,           0.0052144,             0.76099,             0.53476,             0.60974,              0.4107,             0.02931,            0.037991,            0.020393,            0.000958,            0.000958,            0.000958
                 139,            0.023607,             0.02364,           0.0053458,             0.75931,             0.52688,             0.60604,             0.40856,            0.029298,             0.03803,            0.020224,            0.000892,            0.000892,            0.000892
                 140,            0.023696,             0.02355,           0.0051678,             0.74883,             0.53375,             0.60471,             0.40567,            0.029301,            0.038162,            0.020453,            0.000826,            0.000826,            0.000826
                 141,            0.023424,            0.022795,           0.0052994,             0.73765,              0.5322,              0.6016,             0.40726,            0.029305,            0.038215,             0.02032,             0.00076,             0.00076,             0.00076
                 142,            0.023242,            0.023085,           0.0052084,             0.73751,             0.54127,             0.60852,             0.41142,            0.029217,            0.038145,            0.020343,            0.000694,            0.000694,            0.000694
                 143,            0.023193,            0.022747,           0.0050949,              0.7452,             0.53009,             0.59708,             0.40113,            0.029267,            0.038359,            0.020665,            0.000628,            0.000628,            0.000628
                 144,            0.023457,            0.023131,           0.0051756,              0.7516,             0.52761,             0.59821,                 0.4,            0.029218,            0.038287,            0.020765,            0.000562,            0.000562,            0.000562
                 145,            0.023252,            0.023182,           0.0050712,             0.75142,             0.52089,             0.60417,             0.40383,            0.029246,            0.038407,             0.02085,            0.000496,            0.000496,            0.000496
                 146,             0.02299,            0.022893,           0.0049889,             0.73957,             0.52126,             0.59863,             0.40257,            0.029202,            0.038417,            0.020959,             0.00043,             0.00043,             0.00043
                 147,            0.023186,            0.023069,           0.0050046,              0.7455,             0.52455,              0.6022,             0.40272,            0.029225,            0.038566,            0.020962,            0.000364,            0.000364,            0.000364
                 148,             0.02314,            0.023399,           0.0048899,             0.73606,             0.52392,             0.60359,             0.40627,            0.029245,            0.038776,            0.021074,            0.000298,            0.000298,            0.000298
                 149,             0.02315,            0.022965,           0.0051147,             0.74651,             0.51964,             0.60472,             0.40828,            0.029202,            0.038724,            0.021062,            0.000232,            0.000232,            0.000232
